,freesound_id,license,name,path,tags,username
61,344759,http://creativecommons.org/licenses/by/3.0/,[Kick] Punchy Trance Kick 2,files/344759_1676145-hq.ogg,"['booming', 'bass', 'progression', 'Punchy', 'dance', 'trance', 'hard', 'Punch', 'thump', 'club', 'psy', 'techno', 'tech', 'boom', 'mono', 'kick', 'progressive', 'Kick']",old_waveplay
62,171104,http://creativecommons.org/publicdomain/zero/1.0/,kick_gettinglaid.wav,files/171104_2394245-hq.ogg,"['rounded', 'DWSD', 'one', 'brought', 'kicks', 'Roland', 'best', '4000', 'Dan', 'boomy', '808', 'Kick', '2013', '2012', 'mpc', 'tr909', 'Round', 'phase', 'world', 'by', '60', 'drum', 'Bassdrum', 'House', 'Deep', 'Wray', 'layered', 'kick']",DWSD
63,215441,http://creativecommons.org/publicdomain/zero/1.0/,OfficialPradero Hardstyle Basic-kick.wav,files/215441_3033869-hq.ogg,"['a', 'needs', 'made', 'work', 'It', 'but', 'its', 'start', 'good', 'hardstyle', 'kick', 'Basic', 'pprojects', 'little', 'think', 'Kick']",MASSACRESOUNDZ
64,183098,http://creativecommons.org/licenses/by/3.0/,bd_detailed.wav,files/183098_2394245-hq.ogg,"['old', 'house', 'deep', 'sounds', 'analog', 'compression', 'NY', 'music', 'Kick', 'samples', 'tutorials', 'kick', 'Hihat', 'big', 'free', 'vinyl', 'kicks', 'drum', 'Bassdrum', 'dusty', 'phat', 'EDM', 'contact']",DWSD
65,42030,http://creativecommons.org/publicdomain/zero/1.0/,HARD KICK3.wav,files/42030_442517-hq.ogg,"['hard', 'hardcore', 'hardstyle', 'kick', 'techno']",PSYCHO BOOMER
66,148634,http://creativecommons.org/publicdomain/zero/1.0/,SL_Kick_02.wav,files/148634_2614600-hq.ogg,"['Psy', 'Kick', 'Stomp2', 'PsyTrance']",smileylovers
67,255533,http://creativecommons.org/publicdomain/zero/1.0/,ProcessedKick01,files/255533_4745063-hq.ogg,"['big', 'Processed', 'kick']",djdavidedandrea
68,250547,http://creativecommons.org/publicdomain/zero/1.0/,kick-bass-drum.wav,files/250547_3400358-hq.ogg,"['el', 'bass-drum', 'drum', 'kick']",almela
69,264601,http://creativecommons.org/publicdomain/zero/1.0/,kick swedish.wav,files/264601_3797507-hq.ogg,"['drum', 'bass', 'beat', 'pearl', 'bass-drum', 'drums', 'kick']",Veiler
70,40614,http://creativecommons.org/licenses/sampling+/1.0/,kick-05.wav,files/40614_1030-hq.ogg,"['analog', 'drums', 'hit', 'kick', 'kick-drum-single-hit', 'single']",pestilenza
71,259994,http://creativecommons.org/publicdomain/zero/1.0/,Frenchcore kick,files/259994_4587863-hq.ogg,"['Hardcore', 'kick', 'frenchcore']",OptimumFrequency
72,106290,http://creativecommons.org/publicdomain/zero/1.0/,Mein Kick 1.wav,files/106290_1773889-hq.ogg,"['bassdrum', 'kick', 'kickdrum']",Pder
73,131336,http://creativecommons.org/publicdomain/zero/1.0/,kick HipHop 1.wav,files/131336_1513948-hq.ogg,"['drum', 'bassdrum', 'dub', 'hiphop', 'electro', 'Kick']",kaonaya
74,509983,http://creativecommons.org/publicdomain/zero/1.0/,Kick 10.mp3,files/509983_8033171-hq.ogg,"['drum', 'bass', 'deep', 'bass-drum', 'kick-drum', 'kick']",blakengouda
75,368648,http://creativecommons.org/publicdomain/zero/1.0/,Kick 01.wav,files/368648_5449658-hq.ogg,"['big', 'hard', 'beast', 'thicc', 'distorted', 'kick']",darealwollen
76,189174,http://creativecommons.org/publicdomain/zero/1.0/,mhak Kick 61 E,files/189174_3296371-hq.ogg,"['mhak-kick', 'bass', 'kick', '61-e']",triangelx
77,347077,http://creativecommons.org/publicdomain/zero/1.0/,KICK 029,files/347077_5005496-hq.ogg,"['EQ-10', 'MORLEY', 'YAMAHA', 'HOUSE', 'PRO', 'MXR', 'BOSS', 'II', 'TECHNO', 'HIP-HOP', 'SERIES', 'MD-2', 'PSR-215', 'KICK']",GioMilko
78,330041,http://creativecommons.org/publicdomain/zero/1.0/,Dre Kick 10.wav,files/330041_2448533-hq.ogg,"['tech-house', 'bassdrum', 'tech', 'boom', 'kickdrum', 'kicks', 'kick']",.Andre_Onate
79,89187,http://creativecommons.org/publicdomain/zero/1.0/,Bounce kick 10.wav,files/89187_1301491-hq.ogg,"['bounce', 'kick']",smokum
80,543497,http://creativecommons.org/publicdomain/zero/1.0/,Tampan stereo snare 2.wav,files/543497_3797507-hq.ogg,"['dance', 'pop', 'Custom', 'kill-Buddhism', 'snare-drum', 'electronic', 'black-metal', 'kill-the-monarch-of-Britain', 'Drums', 'Snare', 'electro', 'jazz', 'Drum', 'death-metal', 'beat', 'rock', 'standard', 'godfuck', 'drums', 'SJC', 'snare', 'drum-kit', 'antipersonocracy', 'drum', 'side-drum', 'metal', 'atheism', 'Drum-Set', 'deathster']",Veiler
81,270156,http://creativecommons.org/licenses/by/3.0/,04c_Snare_Smooth_Cymbals_&_Snares.wav,files/270156_1125482-hq.ogg,"['shot', 'one', 'Cooper', 'click', 'hit', 'one-shot', 'custom', 'wood', 'bubinga', 'crash', 'Istambul', 'cymbal', 'TRX', 'Bosphorus', 'hi-hat', 'snare', 'bronze', 'drum', 'metronome', 'wenge', 'ride', 'drumset', 'metal', 'cymbals', 'sample', 'percussion', 'Snare', 'drums']",Theriavirra
